code	time	valence	arousal	humanlike
10	5607	3	7	6
30	19302	8	7	8
10	31396	3	7	7
10	49020	3	8	8
40	64380	6	5	7
10	78006	2	8	8
30	91800	8	7	8
20	106226	3	7	6
40	124517	6	5	3
40	141759	5	5	4
20	154453	2	7	8
30	167579	8	7	7
20	179657	2	7	7
40	192918	6	6	4
20	206095	2	7	8
40	218255	5	5	4
10	228683	3	7	7
20	242377	2	7	7
30	254920	7	6	6
20	267698	3	7	6
30	282224	6	6	5
40	294318	6	5	5
10	304246	3	5	6
30	319539	6	6	6
40	332133	5	5	5
20	344460	3	6	6
30	358454	5	5	5
10	371564	3	6	7
