code	time
10	5604
40	16118
20	26897
10	37675
40	49453
30	60730
20	71508
30	82537
20	94065
30	105342
20	116120
10	126898
40	137426
40	148454
10	159982
40	171010
20	181538
30	193566
20	204094
30	216122
30	226900
10	237428
30	247956
20	258984
40	271012
10	281789
30	293568
10	304595
40	316373
40	328651
20	339928
10	351956
