code	time	valence	arousal	humanlike
20	5596	2	7	3
40	22339	5	6	5
10	33517	5	6	3
10	48443	3	7	3
40	61187	3	7	3
30	73364	7	7	8
20	84908	2	7	3
40	100917	5	6	3
30	112028	6	6	4
10	127021	4	6	3
40	139982	5	5	5
10	153641	4	6	4
20	170001	3	6	3
40	183010	3	7	4
10	198620	4	7	5
30	212963	7	7	8
20	225174	3	7	5
20	241200	3	7	4
30	253043	5	6	4
20	264855	3	7	3
10	276982	4	6	3
40	290142	5	6	6
10	303769	4	6	4
10	318395	4	6	4
40	334322	4	7	5
40	347780	7	7	7
20	363690	3	7	3
30	374101	3	7	3
30	387228	8	7	8
20	398856	3	7	4
30	411834	5	6	5
30	425244	7	7	6
