code	time	valence	arousal	humanlike
10	5606	2	6	3
40	24547	6	4	5
10	45454	2	7	2
30	62062	6	3	6
10	82103	2	8	2
40	101676	3	4	3
10	118218	2	5	4
40	135127	7	2	7
20	151203	1	8	3
40	167345	5	2	7
20	185386	1	8	6
30	201645	6	3	6
20	215971	2	7	5
40	229764	3	6	4
10	245424	3	6	4
10	259067	2	7	4
40	271910	4	5	2
20	288486	1	7	5
30	301696	7	2	7
30	316823	7	2	6
20	331048	1	7	5
30	344509	6	3	6
40	357769	4	5	4
20	373411	1	7	2
30	388771	8	3	7
20	407145	2	6	3
30	421922	6	4	5
10	435714	3	5	2
