code	time	valence	arousal	humanlike
30	5598	5	6	6
20	20409	3	7	7
10	34035	3	6	4
30	47446	2	7	2
40	62905	3	4	3
20	76698	2	8	7
40	89875	4	5	4
10	102736	2	8	8
40	116063	2	4	3
10	130956	3	7	7
20	143199	2	8	8
40	155193	3	3	2
10	167604	2	7	8
20	179698	1	8	9
40	192159	4	4	3
30	205186	4	6	3
10	220162	4	7	6
20	236055	3	8	8
40	246832	4	2	3
10	261092	2	7	8
40	272770	3	4	3
20	284397	2	8	9
30	294842	4	4	5
20	306453	3	7	7
30	319864	8	4	8
10	332491	4	4	6
30	344868	7	4	8
30	355580	4	4	3
