code	time
40	5607
10	16122
10	26900
40	37679
10	49457
30	60734
20	71512
40	82540
40	94068
10	105346
30	116124
20	126902
20	137430
30	148458
40	159986
10	171014
30	181542
30	193570
10	204098
20	216126
40	226903
40	237431
10	247960
20	258988
30	271016
30	281793
10	293571
40	304599
20	316377
20	328655
30	339932
20	351960
