code	time	valence	arousal	humanlike
10	5603	1	7	8
30	19197	5	8	7
40	34540	7	8	8
10	50166	1	9	8
10	64909	1	8	7
40	78902	1	8	7
20	93262	2	8	7
20	107755	1	8	8
40	121798	6	8	9
30	136141	7	8	9
20	149201	2	8	7
40	163278	1	6	6
10	177004	1	8	7
30	191731	6	8	7
30	204641	6	8	8
20	216852	1	8	7
40	228962	1	7	9
30	242540	7	7	9
10	256183	1	7	7
20	270426	2	7	7
40	282486	7	7	8
20	295513	2	9	8
40	307707	1	7	8
30	322600	7	8	8
10	335828	2	6	8
30	347971	7	6	9
10	359533	2	5	8
20	372876	1	8	7
