2024-03-18 12:53:44,521 | INFO | Opened serial port /dev/ttyUSB1
2024-03-18 13:01:19,446 | INFO | Shuffle the conditionsProHappy: [(39, 0, 1), (41, 3, 14), (39, 3, 4), (41, 0, 11), (40, 1, 7), (39, 2, 3), (39, 4, 5), (39, 1, 2), (40, 3, 9), (40, 2, 8), (41, 1, 12), (40, 0, 6), (40, 4, 10), (41, 4, 15), (39, 0, 1), (41, 2, 13)]
2024-03-18 13:01:19,446 | INFO | Received the serial number 3, index 1, trial number 1, prototype happiness, duration 975ms, duration type 39, exp type 0
2024-03-18 13:01:22,470 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:01:29,960 | INFO | Shuffle the conditionsBOAnger: [(39, 0, 1), (41, 2, 13), (39, 4, 5), (39, 2, 3), (40, 3, 9), (41, 1, 12), (41, 3, 14), (40, 2, 8), (39, 1, 2), (41, 4, 15), (40, 0, 6), (40, 1, 7), (41, 0, 11), (40, 4, 10), (39, 0, 1), (39, 3, 4)]
2024-03-18 13:01:29,961 | INFO | Received the serial number 2, index 1, trial number 1, BO anger, duration 975ms, duration type 39, exp type 0
2024-03-18 13:01:32,981 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:01:40,738 | INFO | Shuffle the conditionBOHappy: [(39, 0, 1), (40, 3, 9), (39, 0, 1), (39, 3, 4), (40, 0, 6), (41, 0, 11), (41, 1, 12), (40, 1, 7), (39, 2, 3), (41, 2, 13), (41, 4, 15), (40, 2, 8), (39, 4, 5), (39, 1, 2), (40, 4, 10), (41, 3, 14)]
2024-03-18 13:01:40,739 | INFO | Received the serial number 4, index 1, trial number 1, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-18 13:01:43,754 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:01:51,516 | INFO | Shuffle the conditionsProAnger: [(39, 0, 1), (40, 4, 10), (41, 2, 13), (41, 3, 14), (39, 2, 3), (40, 0, 6), (41, 4, 15), (40, 3, 9), (41, 1, 12), (39, 0, 1), (41, 0, 11), (39, 4, 5), (40, 1, 7), (40, 2, 8), (39, 1, 2), (39, 3, 4)]
2024-03-18 13:01:51,517 | INFO | Received the serial number 1, index 1, trial number 1, prototype anger, duration 975ms, duration type 39, exp type 0
2024-03-18 13:01:54,537 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:04:40,349 | INFO | Received the serial number 1, index 13, trial number 3, prototype anger, duration 1025ms, duration type 41, exp type 2
2024-03-18 13:04:43,424 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:04:50,864 | INFO | Received the serial number 4, index 1, trial number 3, BO happiness, duration 975ms, duration type 39, exp type 0
2024-03-18 13:04:53,888 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:01,642 | INFO | Received the serial number 2, index 3, trial number 4, BO anger, duration 975ms, duration type 39, exp type 2
2024-03-18 13:05:04,663 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:12,420 | INFO | Received the serial number 1, index 14, trial number 4, prototype anger, duration 1025ms, duration type 41, exp type 3
2024-03-18 13:05:15,494 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:24,198 | INFO | Received the serial number 3, index 11, trial number 4, prototype happiness, duration 1025ms, duration type 41, exp type 0
2024-03-18 13:05:27,266 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:35,476 | INFO | Received the serial number 2, index 9, trial number 5, BO anger, duration 1000ms, duration type 40, exp type 3
2024-03-18 13:05:38,523 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:46,253 | INFO | Received the serial number 4, index 4, trial number 4, BO happiness, duration 975ms, duration type 39, exp type 3
2024-03-18 13:05:49,275 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:05:57,281 | INFO | Received the serial number 3, index 7, trial number 5, prototype happiness, duration 1000ms, duration type 40, exp type 1
2024-03-18 13:06:00,328 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:06:08,809 | INFO | Received the serial number 2, index 12, trial number 6, BO anger, duration 1025ms, duration type 41, exp type 1
2024-03-18 13:06:11,880 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:06:20,087 | INFO | Received the serial number 2, index 14, trial number 7, BO anger, duration 1025ms, duration type 41, exp type 3
2024-03-18 13:06:23,161 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:06:30,864 | INFO | Received the serial number 4, index 6, trial number 5, BO happiness, duration 1000ms, duration type 40, exp type 0
2024-03-18 13:06:33,915 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:06:41,642 | INFO | Received the serial number 2, index 8, trial number 8, BO anger, duration 1000ms, duration type 40, exp type 2
2024-03-18 13:06:44,685 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:06:52,170 | INFO | Received the serial number 3, index 3, trial number 6, prototype happiness, duration 975ms, duration type 39, exp type 2
2024-03-18 13:06:55,187 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:03,199 | INFO | Received the serial number 4, index 11, trial number 6, BO happiness, duration 1025ms, duration type 41, exp type 0
2024-03-18 13:07:06,273 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:14,726 | INFO | Received the serial number 2, index 2, trial number 9, BO anger, duration 975ms, duration type 39, exp type 1
2024-03-18 13:07:17,749 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:25,754 | INFO | Received the serial number 1, index 3, trial number 5, prototype anger, duration 975ms, duration type 39, exp type 2
2024-03-18 13:07:28,779 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:36,282 | INFO | Received the serial number 4, index 12, trial number 7, BO happiness, duration 1025ms, duration type 41, exp type 1
2024-03-18 13:07:39,355 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:48,310 | INFO | Received the serial number 3, index 5, trial number 7, prototype happiness, duration 975ms, duration type 39, exp type 4
2024-03-18 13:07:51,335 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:07:58,838 | INFO | Received the serial number 1, index 6, trial number 6, prototype anger, duration 1000ms, duration type 40, exp type 0
2024-03-18 13:08:01,887 | INFO | Received the serial number 0, neutral state.
2024-03-18 13:08:10,866 | INFO | Received the serial number 3, index 2, trial number 8, prototype happiness, duration 975ms, duration type 39, exp type 1
2024-03-18 13:08:13,891 | INFO | Received the serial number 0, neutral state.
